sender,symbol,amount,value
osmo10xnqv49h7hh0gfspl7pq6w5nfqtkvj4rxzhel9,OSMO,20642.359785,23080.39029799355
osmo10xnqv49h7hh0gfspl7pq6w5nfqtkvj4rxzhel9,ATOM,1939.763062,18272.300128920437
osmo1tepmnj43qy30t3aa0e9vfgllw6xjer382d55hy,axlUSDC,6563.001735,6563.001794197919
osmo1tepmnj43qy30t3aa0e9vfgllw6xjer382d55hy,OSMO,5799.579858,6484.557389814046
osmo10xnqv49h7hh0gfspl7pq6w5nfqtkvj4rxzhel9,axlUSDC,6159.192479,6159.192534555582
osmo192n69zgxvue8kjmqa5zaa5rdkysfkzwqluyre2,axlWETH,3.172479960778254,5781.8099150449
osmo192n69zgxvue8kjmqa5zaa5rdkysfkzwqluyre2,OSMO,4922.247233,5503.604649087304
osmo1z4v55tku262akr660zv0s7e6f4hghya5c2rcla,ATOM,521.490228,4912.365920861704
osmo1z4v55tku262akr660zv0s7e6f4hghya5c2rcla,OSMO,4070.712548,4551.496794811816
osmo1dqgam0gwfegzlz37cpdd6plr49dtkus9s5ak9u,JUNO,1171.603355,4375.239016397409
osmo1dqgam0gwfegzlz37cpdd6plr49dtkus9s5ak9u,OSMO,3734.389982,4175.451799464754
osmo127rxtmsja3jses3dhq7nj2stkq53j3cw27yjlu,OSMO,3586.048643,4009.5901423137675
osmo127rxtmsja3jses3dhq7nj2stkq53j3cw27yjlu,ATOM,414.526196,3904.779513020595
osmo1u8hhzsg9zsn73w66gu4lx547fa9yf67z64jpnq,OSMO,3363.689303,3760.9683564783336
osmo1u8hhzsg9zsn73w66gu4lx547fa9yf67z64jpnq,axlDAI,3777.316720708658,3758.5076736697147
osmo1rjn0rnxjhd7hvacvwk8gu65sgwfnph7sl28ptv,ATOM,348.504259,3282.8619852618995
osmo1rjn0rnxjhd7hvacvwk8gu65sgwfnph7sl28ptv,OSMO,2745.260054,3069.497585341639
osmo1q0x6hfuknmgsmv3vv3tu60v8ph054qmynydc3y,ATOM,324.807757,3059.6442093222295
osmo1q0x6hfuknmgsmv3vv3tu60v8ph054qmynydc3y,OSMO,2543.649846,2844.075572685848
osmo13kj8rk8glvc5c0xftcmm2n8l6m8ep0yrk9xzk4,ATOM,301.858416,2843.4645868065913
osmo1eusaavlm9utz2a7nec3sungv6llua3lz0g7ya6,JUNO,727.764611,2717.76630479219
osmo13kj8rk8glvc5c0xftcmm2n8l6m8ep0yrk9xzk4,OSMO,2369.166816,2648.984678295814
osmo1eusaavlm9utz2a7nec3sungv6llua3lz0g7ya6,OSMO,2322.2327,2596.507261621851
osmo1usckzz6h4fkcknv4nkr2apqs4c4fwzc58gjek8,axlWETH,1.4022088007206595,2555.5101520581684
osmo1usckzz6h4fkcknv4nkr2apqs4c4fwzc58gjek8,OSMO,2241.555182,2506.3010728378295
osmo129xvhtfhplpul2tgqy9ufm40u62667f0qxgmw2,OSMO,2040.183267,2281.1454975226607
osmo1y8djj550x4u3cf48kh9nd486hpps4rjkf7jpyl,ATOM,240.818346,2268.475558105151
osmo1y76k2egpryndqm8vrstmfjlx0ue3hc00e082td,ATOM,236.575169,2228.50541682192
osmo1y8djj550x4u3cf48kh9nd486hpps4rjkf7jpyl,MED,77848.893676,2204.72519892702
osmo1ky7wgt03lwp2sa8fcxgmcd5j49ctwxq2tynnyv,ROWAN,188880.2488773663,2141.236762241156
osmo1y76k2egpryndqm8vrstmfjlx0ue3hc00e082td,OSMO,1857.612094,2077.0111846877244
osmo129xvhtfhplpul2tgqy9ufm40u62667f0qxgmw2,ATOM,210.769774,1985.4221600971653
osmo1ky7wgt03lwp2sa8fcxgmcd5j49ctwxq2tynnyv,OSMO,1470.79255,1644.5051076984314
osmo12u8tq4za4vpk9htygj99ykk5pjrwp8g7a9g30p,ATOM,166.552637,1568.9028367151877
osmo1m59jgm3u5rvxrw8z7q2c6zdd0xt6y0cgw8hcfq,ROWAN,136943.07617411047,1552.4521530505776
osmo12u8tq4za4vpk9htygj99ykk5pjrwp8g7a9g30p,JUNO,411.692061,1537.4240440172366
osmo1d00m4h4q8pfvd9rdp5w34ndwt8flfgzzlemx0m,ATOM,130.818182,1232.2892061668392
osmo1rrrlpgf7fnlcs2ehh6dyesgs5v6pxdur3ycm3n,axlUSDC,1227.207308,1227.2073190693432
osmo1m59jgm3u5rvxrw8z7q2c6zdd0xt6y0cgw8hcfq,OSMO,1071.986591,1198.596922648085
osmo1rrrlpgf7fnlcs2ehh6dyesgs5v6pxdur3ycm3n,OSMO,1071.096201,1197.6013703502142
osmo1qp749jf5nf8cgs374prymzsm8pl8xjgafjkpqd,OSMO,1034.116709,1156.2542997017442
osmo1d00m4h4q8pfvd9rdp5w34ndwt8flfgzzlemx0m,OSMO,1022.027681,1142.7374592111466
osmo1qp749jf5nf8cgs374prymzsm8pl8xjgafjkpqd,CRO,6211.97245768,1105.158198959077
osmo15cza2urz6zpr6tg7zkvt82rv2q0v0cw435jgcx,axlUSDC,1088.720495,1088.7205048201997
osmo15cza2urz6zpr6tg7zkvt82rv2q0v0cw435jgcx,OSMO,970.297187,1084.8971733008302
osmo1qz02x57fyjdzs5emzx4mvvgx8vpgv7ft9apak4,OSMO,754.209516,843.287791562965
osmo1ed0hmq97ew4a40gpa4nprnmh5kd7vsss2r9rwv,ATOM,88.458134,833.2634046684724
osmo1v5gwad9wxv6vpvj4048x9r6awgmakw2ch4jx50,ATOM,87.663646,825.7794374411257
osmo1ed0hmq97ew4a40gpa4nprnmh5kd7vsss2r9rwv,OSMO,731.48754,817.8821654677001
osmo1v5gwad9wxv6vpvj4048x9r6awgmakw2ch4jx50,OSMO,694.508755,776.535885321678
