sender,value
osmo10xnqv49h7hh0gfspl7pq6w5nfqtkvj4rxzhel9,47511.88296146957
osmo1tepmnj43qy30t3aa0e9vfgllw6xjer382d55hy,13047.559184011963
osmo192n69zgxvue8kjmqa5zaa5rdkysfkzwqluyre2,11285.414564132203
osmo1z4v55tku262akr660zv0s7e6f4hghya5c2rcla,9463.86271567352
osmo1dqgam0gwfegzlz37cpdd6plr49dtkus9s5ak9u,8653.846884816116
osmo127rxtmsja3jses3dhq7nj2stkq53j3cw27yjlu,8286.671099692501
osmo1u8hhzsg9zsn73w66gu4lx547fa9yf67z64jpnq,7519.476030148048
osmo1rjn0rnxjhd7hvacvwk8gu65sgwfnph7sl28ptv,6352.3595706035385
osmo1q0x6hfuknmgsmv3vv3tu60v8ph054qmynydc3y,5903.719782008077
osmo13kj8rk8glvc5c0xftcmm2n8l6m8ep0yrk9xzk4,5492.449265102405
osmo1eusaavlm9utz2a7nec3sungv6llua3lz0g7ya6,5314.273566414041
osmo1usckzz6h4fkcknv4nkr2apqs4c4fwzc58gjek8,5068.7639142357575
osmo129xvhtfhplpul2tgqy9ufm40u62667f0qxgmw2,4712.29298591551
osmo1y8djj550x4u3cf48kh9nd486hpps4rjkf7jpyl,4473.200757032171
osmo1y76k2egpryndqm8vrstmfjlx0ue3hc00e082td,4305.516601509644
osmo1ky7wgt03lwp2sa8fcxgmcd5j49ctwxq2tynnyv,3785.7418699395876
osmo12u8tq4za4vpk9htygj99ykk5pjrwp8g7a9g30p,3106.3268807324243
osmo1m59jgm3u5rvxrw8z7q2c6zdd0xt6y0cgw8hcfq,2751.049075698663
osmo1rrrlpgf7fnlcs2ehh6dyesgs5v6pxdur3ycm3n,2424.8086894195576
osmo1d00m4h4q8pfvd9rdp5w34ndwt8flfgzzlemx0m,2375.026665377986
osmo1qp749jf5nf8cgs374prymzsm8pl8xjgafjkpqd,2332.3982565586775
osmo15cza2urz6zpr6tg7zkvt82rv2q0v0cw435jgcx,2173.6176781210297
osmo1qz02x57fyjdzs5emzx4mvvgx8vpgv7ft9apak4,1723.75539628033
osmo1ed0hmq97ew4a40gpa4nprnmh5kd7vsss2r9rwv,1687.0582366926567
osmo1v5gwad9wxv6vpvj4048x9r6awgmakw2ch4jx50,1602.3153227628036
osmo1lytkaq224pneqhqj5em70tkldrz76st8grxa5j,1390.4864370910632
osmo1slhv6gxg5h48gghf2jwjm64w8t7edynppqp2vx,1383.2935009154758
osmo13f0eg9yxkckz45fw0dsaxzejpldld6vpmmp7j7,1370.0118290489138
osmo1m4v7zwadpadahzqfszz3kflg55f7ap2l6sz3e6,1319.2323757168792
