symbol,amount,value
OSMO,83107.417672,92923.07936236887
ATOM,6055.03123,57037.55788115232
axlUSDC,17889.290166,17889.290327360424
JUNO,3165.564836,11821.49463834786
axlWETH,4.814596678419504,8774.549613041307
axlDAI,4280.088005728653,4258.775422595442
ROWAN,341611.34916098596,3872.669501283972
MED,77848.893676,2204.72519892702
CRO,11264.31816712,2004.0097831865876
STARS,36096.640673,1158.6388404404306
UST,129281.609216,1120.0968265363617
EEUR,1067.610416,1082.191661839329
axlWBTC,0.02809063,871.2798737693619
XPRT,562.638796,777.3530869104804
CMDX,2252.5836799999997,775.7306855927411
SCRT,372.66565499999996,485.86637862764707
UMEE,10142.602185,308.32826116052036
SOMM,457.539302,220.21184402808035
ION,0.200108,180.34565223757892
BTSG,10003.61499,166.86615601064173
axlUSDT,164.226323,155.07311633517165
axlFRAX,187.39316907359307,153.6534352842059
NETA,2.468141,153.62031444152203
MNTL,1097.281598,103.17570545718695
LUNA,1607396.758666,78.12616990248446
DSM,3044.985735,63.65321183824123
DVPN,34963.904738,50.02042968564164
EVMOS,27.335252212522605,49.7241708939111
GRAV,3152.998994,38.38388847624169
HUAHUA,612807.032121,28.750342657908345
PSTAKE,121.30410741935788,25.140704071226317
SWTH,4440.05469981,22.816663939480435
AKT,61.912653999999996,21.621622177761214
BCNA,1440.0967,20.576426428417633
XKI,197.439818,15.529797599149118
LIKE,4758.505025194,11.705150941693587
RAC,143.746001,10.740831680077285
REGEN,31.671046999999998,10.153964906644037
CRBRUS,374426.46491200005,3.478975471138768
CHEQ,72.235854899,2.8543233312601526
MARBLE,0.371,2.1874168893841097
TICK,4.653663,1.8742015072807836
LUM,1182.1968180000001,1.61088031811546
DARC,391.304013,1.0941855133667626
DEC,15.910931,0.23643062216679225
