sender,symbol,amount,value
osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,ATOM,289526.954482,2727303.922496999
osmo1jdh7eeyaar0tyask0r6w2228uh5wrd0pxtcfwr,ATOM,7000.0,65939.03317787946
osmo13kj8rk8glvc5c0xftcmm2n8l6m8ep0yrk9xzk4,ATOM,627.339624,5909.452611533489
osmo1z4v55tku262akr660zv0s7e6f4hghya5c2rcla,ATOM,598.796278,5640.578234547534
osmo129xvhtfhplpul2tgqy9ufm40u62667f0qxgmw2,ATOM,556.478918,5241.954548113209
osmo1dqgam0gwfegzlz37cpdd6plr49dtkus9s5ak9u,JUNO,1201.644467,4487.424633447272
osmo1q0x6hfuknmgsmv3vv3tu60v8ph054qmynydc3y,ATOM,333.136162,3138.096634124204
osmo1v5gwad9wxv6vpvj4048x9r6awgmakw2ch4jx50,ATOM,209.041854,1969.1453923530619
osmo12u8tq4za4vpk9htygj99ykk5pjrwp8g7a9g30p,ATOM,172.546871,1625.367693086898
osmo12u8tq4za4vpk9htygj99ykk5pjrwp8g7a9g30p,JUNO,422.248387,1576.845618894009
osmo1lk870e3usuz7pcwl02szqqd0rzjyf285m6n054,JUNO,410.879405,1534.389259059567
osmo1g40gzgswcl7shzm8nr8k283ue07x9ut43xlnhy,ATOM,158.632364,1494.2949589830646
osmo1m4v7zwadpadahzqfszz3kflg55f7ap2l6sz3e6,ATOM,144.396417,1360.1943044757027
osmo1d00m4h4q8pfvd9rdp5w34ndwt8flfgzzlemx0m,ATOM,137.0,1290.5210779099266
osmo1w8sfjgtkq5vg0u2pks22fsvdlnpjtd5fnpkduh,axlUSDC,1224.6405,1224.6405110461908
osmo1qp749jf5nf8cgs374prymzsm8pl8xjgafjkpqd,CRO,6371.25380275,1133.4955886762045
osmo1lk870e3usuz7pcwl02szqqd0rzjyf285m6n054,ATOM,120.191519,1132.1875084343899
osmo10ze4wxhkgfzgknr0779ml7w0a655tn98x6sw4u,JUNO,295.766319,1104.510611976732
osmo1wy0qnu62k4qx8kfvc2q6n76cxnxgpgmqcyqsnu,ATOM,104.843451,987.6108277103399
osmo1ed0hmq97ew4a40gpa4nprnmh5kd7vsss2r9rwv,ATOM,90.726378,854.6299498644047
osmo17d6eypvgf9p8cqfvfdpm5wldjlglvhz89ext68,ATOM,88.317147,831.9353266012367
osmo1pluvppw3973qkk5rt8w0mmdsqx03hy6xl84etm,ATOM,81.175612,764.66305327181
osmo17c639ncyzt966szuc5y5k06ud9vfnkxm2kvg62,JUNO,193.492324,722.5783041037884
osmo18v85clkgwzvuugp03xf4e4etl5qqqtc7mxzv56,ATOM,73.250438,690.0090087966004
osmo1lytkaq224pneqhqj5em70tkldrz76st8grxa5j,ATOM,71.021813,669.0156691085929
osmo1vesuj4a0f7zfyngnq9pqjqta3gy9r5j45yz5rs,ATOM,66.473465,626.1708591548013
osmo13v04eleavls6pudptc0lg7t3yte6fxn7tshdjv,ATOM,62.658741000000006,590.2366859547367
osmo1pfpk6rsgc0x7g8q7y0yre86ej2enr8rhv3p8dq,ATOM,57.278998,539.5602499310987
osmo1g5ynr0lv2pvg0y7t7zr6v8w0qm6zhps5x0egjx,UMEE,17399.0,528.9178573784212
osmo1wfyaqhxsczc4mlgk54trxznmqkld09p79phzqn,ATOM,53.25107,501.6177244982259
osmo129xvhtfhplpul2tgqy9ufm40u62667f0qxgmw2,JUNO,122.407903,457.1204331528988
osmo1rejv949h6k78u7fyeudv3lqgveqpfr0du2nwlq,ATOM,48.449822000000005,456.3906314743364
osmo13f0eg9yxkckz45fw0dsaxzejpldld6vpmmp7j7,CRO,2269.25190489,403.7175575516495
osmo13shd9qcuycllwwfplzy5sagvjw3dn5vkchma9h,STARS,9800.0,314.5628076357093
osmo1xqm7e6mahm7z288cpq53cd68530a2hqkmunzjw,ATOM,29.881954,281.48387946083824
osmo1xqm7e6mahm7z288cpq53cd68530a2hqkmunzjw,JUNO,74.090674,276.68443100009824
osmo1tcpmk8ztqs3f2rsu0yclzcnqjs7wu7pd9e45qf,ATOM,27.063762,254.93690006231907
osmo1wfyaqhxsczc4mlgk54trxznmqkld09p79phzqn,CMDX,719.521577,247.78434256656791
osmo1q5cv296zedshm3eggg9ps90jx3fhad55ndxwrw,ATOM,24.327571,229.16235875803116
osmo1nvn4sfc3r2d69c7v0j9v7ak87xepz9q59a6ug0,ATOM,22.198845,209.11005385222907
osmo1yte9x7rytzch3yrgyvhnc99m5ga4rrfsx3yyc8,STARS,6493.760146,208.43830853455444
osmo15wk3htq4p024tfc6nagvgusra0tlt3hhv2sw9d,EVMOS,105.94569676703591,192.720443570856
