sender,value
osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,2727303.922496999
osmo1jdh7eeyaar0tyask0r6w2228uh5wrd0pxtcfwr,65939.03317787946
osmo13kj8rk8glvc5c0xftcmm2n8l6m8ep0yrk9xzk4,5909.452611533489
osmo129xvhtfhplpul2tgqy9ufm40u62667f0qxgmw2,5699.074981266108
osmo1z4v55tku262akr660zv0s7e6f4hghya5c2rcla,5640.578234547534
osmo1dqgam0gwfegzlz37cpdd6plr49dtkus9s5ak9u,4609.277702178619
osmo12u8tq4za4vpk9htygj99ykk5pjrwp8g7a9g30p,3202.213311980907
osmo1q0x6hfuknmgsmv3vv3tu60v8ph054qmynydc3y,3138.096634124204
osmo1lk870e3usuz7pcwl02szqqd0rzjyf285m6n054,2817.9595943972954
osmo1v5gwad9wxv6vpvj4048x9r6awgmakw2ch4jx50,1969.1453923530619
osmo1g40gzgswcl7shzm8nr8k283ue07x9ut43xlnhy,1494.2949589830646
osmo1w8sfjgtkq5vg0u2pks22fsvdlnpjtd5fnpkduh,1426.2771708046107
osmo1m4v7zwadpadahzqfszz3kflg55f7ap2l6sz3e6,1360.1943044757027
osmo1d00m4h4q8pfvd9rdp5w34ndwt8flfgzzlemx0m,1290.5210779099266
osmo1qp749jf5nf8cgs374prymzsm8pl8xjgafjkpqd,1144.8684394925554
osmo10ze4wxhkgfzgknr0779ml7w0a655tn98x6sw4u,1104.510611976732
osmo1wfyaqhxsczc4mlgk54trxznmqkld09p79phzqn,993.4388362906847
osmo1wy0qnu62k4qx8kfvc2q6n76cxnxgpgmqcyqsnu,987.6108277103399
osmo1ed0hmq97ew4a40gpa4nprnmh5kd7vsss2r9rwv,854.6299498644047
osmo17d6eypvgf9p8cqfvfdpm5wldjlglvhz89ext68,831.9353266012367
osmo1pluvppw3973qkk5rt8w0mmdsqx03hy6xl84etm,764.66305327181
osmo1lytkaq224pneqhqj5em70tkldrz76st8grxa5j,734.8993849358988
osmo17c639ncyzt966szuc5y5k06ud9vfnkxm2kvg62,731.9441737182939
osmo18v85clkgwzvuugp03xf4e4etl5qqqtc7mxzv56,690.0090087966004
osmo1vesuj4a0f7zfyngnq9pqjqta3gy9r5j45yz5rs,626.1708591548013
osmo13v04eleavls6pudptc0lg7t3yte6fxn7tshdjv,590.2366859547367
osmo1xqm7e6mahm7z288cpq53cd68530a2hqkmunzjw,558.1683104609365
osmo1pfpk6rsgc0x7g8q7y0yre86ej2enr8rhv3p8dq,539.5602499310987
osmo13f0eg9yxkckz45fw0dsaxzejpldld6vpmmp7j7,534.0935050286573
osmo1g5ynr0lv2pvg0y7t7zr6v8w0qm6zhps5x0egjx,528.9178573784212
osmo1rejv949h6k78u7fyeudv3lqgveqpfr0du2nwlq,486.74429542756025
osmo1yuycef80txefx4fu4gc7kwzvql0ckuyhy2zrf3,350.92610727176015
osmo13shd9qcuycllwwfplzy5sagvjw3dn5vkchma9h,314.5628076357093
osmo1tcpmk8ztqs3f2rsu0yclzcnqjs7wu7pd9e45qf,254.93690006231907
osmo1faf8txl48hlnt7c866dnlpe90cvvhwue608s4m,233.58650654379875
osmo1q5cv296zedshm3eggg9ps90jx3fhad55ndxwrw,229.16235875803116
osmo1nvn4sfc3r2d69c7v0j9v7ak87xepz9q59a6ug0,209.35476584994106
osmo1yte9x7rytzch3yrgyvhnc99m5ga4rrfsx3yyc8,208.43830853455444
osmo15wk3htq4p024tfc6nagvgusra0tlt3hhv2sw9d,192.720443570856
osmo1f8xye7qclcwtd9wwp2l2gey79qckacxnvm37mp,191.2552771215105
osmo1cwj3vqxk6p7e6ntxt8925m3l9d6l0jr554d3e7,188.78974445600645
osmo1jg9wr5u9cm04g0sswegskg3tawgylem6sndy5y,175.45901967594844
osmo1uvxs9q40jl72q9p3jsx53zh65uksxtm6hw6xjh,164.8606577129916
osmo1w83rmdhrqudkj5qgs0c8lea6ypacp55360j77e,149.9994655693543
osmo1qx46s5gen6c88yaauh9jfttmfgdxnxxsckx0ce,123.98246587881565
