symbol,amount,value
ATOM,300712.737775,2832672.4561652415
JUNO,2941.999619,10986.612034134292
CRO,8649.58570764,1538.828548825807
axlUSDC,1224.6405,1224.6405110461908
STARS,20322.231481,652.3079787843019
UMEE,17399.0,528.9178573784212
SCRT,306.460008,399.5501390681139
EVMOS,211.31560480638257,384.3934990703741
CMDX,971.694614,334.6261165778285
axlUSDT,107.3212,101.33961857521601
axlFRAX,122.3206,100.2970411832038
NETA,1.113124,69.28228933938732
OSMO,59.130494,66.11428607231622
SOMM,125.0,60.162002221855126
BTSG,2930.186516,48.877226963243494
RAC,481.144398,35.95154617713584
NGM,47.914852,33.15673019433758
HUAHUA,483364.890489,22.67745881156455
XPRT,15.237735,21.05276142346549
GRAV,1300.0,15.82590261337527
MNTL,155.57221900000002,14.628217108645053
AKT,28.027545,9.787998888889506
DARC,3349.434187,9.365869614505538
LIKE,3001.8717465980003,7.384117851194753
REGEN,10.0,3.2060717495837876
gUSDC,3.067358,3.091484158561289
CHEQ,77.485294294,3.061749371446632
MARBLE,0.381,2.2463769133567273
LUM,1127.600017,1.53648584265768
