sender,value
osmo1ew02nl40jqspvfe23xmdc4xmqvnelz3929nrrx,31235.395152288547
osmo1lvxcql4c9yeec8spuaspeq5j5slnd27g6zdh0a,22659.414080554605
osmo1nl09n46sfnk0z8jk33mvu9u6lz5ymqj4hmj84x,13756.853823200618
osmo1jh0urskmdrrhfgm53d0ddnd506stu63w95d3l6,11609.317352424645
osmo1gw6xkw2pvxtt3ea83gs7gdhv7zvhzmk9yyl3xk,8562.143040526644
osmo1azeezpnwsde5yy6pacjrc6hjydlpta3f5z8rz5,4930.516336135914
osmo1cfts4zw4w8mcuu3z8qwlmqkt5jhwpu7tynv3tz,4229.526098060353
osmo168j8pgmcng2xx83y8f6hmd75lu7n2rryeluczh,3070.623473689091
osmo15cxzysdx8aavudyr8phtreq2uw6k5j3gfl7ljp,2910.3911073078225
osmo1kx80u9cxj0fdznjww50zc7ngxvnqkdma005r6a,2711.120707050207
osmo17eqc5v8m36ru93cqdmcnfvlnjyswheqranvkfn,2507.1193185751176
osmo1n0r5zq8a49dp29mheyjj7uc5ld5s4tm6fr6k2m,1972.6429551607189
osmo1zf9wvyqsk8qqu3leavjxna8mwlvkxd3x96fgcz,1950.2958597792135
osmo1t3yvpsxwpp4nq2hfry6w5jnfz938t3ve0097s0,1448.17707042436
osmo1qxprregw2tvclv5ecg23u8cm8vwx500a5qlv5a,1337.036810873582
osmo1a5fdjkm0gyyq4p88uuxadk49xe79dj2gwc4vgk,1316.147511984289
osmo1w5lep3d53p5dtkg37gerq6qxdlagykyrtlvhgq,1265.4340699825132
osmo15mhtyx9768rkjz0aqtxmwd5nvxnrcrspqjnmcr,1187.1138437511831
osmo103w2uwpdf9p708c83nkyd0ys6fgqt94tdvjtgn,1144.25617605063
osmo1tneppw8gfvkplqsr4rtwzpalcaa7rjvplwcu2n,1119.7687149305393
osmo1e64jguv6uetfxankx4ge0jll9vqcl806u7vrka,1097.8448476192564
osmo1awvr6yq3v5v4z625elhphet4yj20954huct8az,1022.2562856077105
osmo18pd2gvh3qly9xt0jrmsr9hyedf48ege02mhmsm,1000.8082959258834
osmo1dvwyzspj43vrdffqm0rmj9fa0aqnalqpad5sva,915.6703287269877
osmo1p4tfy2vf8y5vd85g9e82936tkh9l3h8h4cdxzu,879.5155284679801
osmo1ey67pvamgg0hfv7q72zkfcf9nrw927f5akhp8y,860.6854645359354
osmo1a80h8wx74yczws53ap5zm5f8t7udf8u6plff0c,842.9654134530311
osmo1yllrndphe5zj63vg4nxupqcqqa2n6l567taf2m,833.075333257833
osmo1pes8pt4exczcuvq3xls8vxzrm8af6kyjqwgksz,822.8349878170194
osmo1adk4lg8sk02j4nkegkvnjnpz30ex9tyqd5n4ew,772.6771066767767
osmo1dhr7zha4s5cppe2tc2h2ps3v6mx6n8j2zk3gs8,754.1453526508258
osmo17c639ncyzt966szuc5y5k06ud9vfnkxm2kvg62,749.9464477968772
osmo1l5wfk5te87el4ptwtz96cmx762ehk4p5up7qqn,724.7453681368747
osmo1xzllmxl5hl7fpsle777tm7kn9kap9y609j428g,723.8004885047166
osmo1feh8mze5yn0760kka9pf4halxm0wx0lcw9073r,708.5200258697199
osmo1re5wtjufxl9lfvw3qksv3ha7tnz56p99pcs7uh,703.2711161375196
osmo16a8ll0ur70j4qx3av8jeg3gc45eazqppjczr7d,644.5200667294299
osmo17u2jm3yx67mg5udl9keh5nq6gddpfjn5fydx88,643.7485405012345
osmo1hdqytyujf0fshlapudv7j6fp4ewtge6ckvczjm,638.8268327639763
osmo1hvtvy09xkz8as33w9u5wnuyned6ypwvt4s683h,619.0316792802802
osmo1psut3wswfp0ft683g78u2ymea4w9kcne2j7nq3,615.1069761704996
osmo138rx6qvg5g0tnwykreamy9vszmlls5ykjtqttx,597.939446272399
osmo1u056rct93dhfdwqx9k7eplhrdf2mqu0eq9q378,588.8576813854227
osmo1xp0ytkpfuetafwf7x2xptu8ket4n637wwxj3nt,563.5240756413014
osmo15u2uwhyxhn382csz9auwxsm9km79kw0ffsnrpk,542.135543473499
