symbol,amount,value
OSMO,71132.83616,79534.20242045398
axlWBTC,0.50454948,15649.481953405717
MNTL,166224.894603,15629.87185465501
axlWETH,8.343543722114013,15206.016874979812
axlUSDC,10506.974074,10506.974168772334
ION,10.345215,9323.538023032488
ATOM,943.895918,8891.369179066713
XPRT,4726.250077000001,6529.882249475818
axlDAI,4042.4187287029513,4022.2896133437785
EVMOS,1977.3563732987673,3596.908689908832
CRO,19465.785649550002,3463.114615581305
JUNO,405.27985,1513.4782643906728
HOPE,211.644112,1464.7875524618348
AKT,2289.9890219999997,799.7279106288177
STARS,19290.061176,619.1771227537911
CMDX,1758.202186,605.4786773366111
UMEE,17800.506217,541.1233753978336
PSTAKE,2307.135058942507,478.1618776411577
EEUR,400.77402800000004,406.2477331462846
NETA,6.294706000000001,391.79071010810776
XKI,4561.392602,358.78023286729405
ROWAN,29665.65605262032,336.30405345936776
UST,35614.776198,308.5666866238658
SCRT,150.757319,196.5512830371851
REGEN,606.305836,194.3860012407381
HUAHUA,1089917.99722,51.13439344950097
GRAV,4060.8984140000002,49.43644832521084
FET,151.04812404833243,23.305406590857906
SWTH,4267.92939268,21.932142114009878
CRBRUS,1341056.281524,12.460395687935886
DVPN,7761.680490000001,11.104097099615586
DSM,478.725959,10.007417943024349
RAC,76.160521,5.6907832637931355
BTSG,229.289233,3.8246786750174984
CHEQ,52.077756643,2.0577974197666906
MARBLE,0.347,2.0459128318498276
NGM,2.4315,1.6825803712705159
IXO,11.274992,1.212007969567344
DIG,1886.547386,0.734037567891364
gUSDC,0.236082,0.23793889175031613
LUM,96.349594,0.1312874999068179
VDL,1.491295,0.05798793043492127
IRIS,1.742513,0.042598744578654826
LIKE,6.865940312999999,0.016889100104932102
DARC,4.920165,0.013758032341912573
SOMM,0.011336,0.0054559716574955975
