sender,value
osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,3034352.848234895
osmo1hq8tlgq0kqz9e56532zghdhz7g8gtjymdltqer,1555826.0639166113
osmo1v44mqmhvtn8cw373xv0hw6npddccnr70lqsk9s,163167.15875284694
osmo10t26acjmemggsahq6uvyucm4tj3z0mhz23ljh2,119065.97765387515
osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,79541.76708614088
osmo1jdh7eeyaar0tyask0r6w2228uh5wrd0pxtcfwr,62386.36435301196
osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,24645.477143962882
osmo1tg70tuzekpd376dpqr68yx5a7r709w6x8jtxha,993.2607572415476
osmo1pfpk6rsgc0x7g8q7y0yre86ej2enr8rhv3p8dq,786.0224477593391
osmo1jfa3vw3r50vyww2qwklxqn6qu06d3uf7vc63qm,86.49216852888472
osmo1csl24xa338980yckumj6k9kejyttshaaktn9tv,5.511130552645017
osmo1z98eg2ztdp2glyla62629nrlvczg8s7f8sgpm5,4.885259285650472
osmo1d8etkcl43lp9nhdsflmm9y3krl7dutwj2493rh,4.5931085469230615
osmo1ea6yv55jzerkeqqz9c36t6wyklh8qpqs0da0n6,2.080881493551364
osmo1wfw3cdg5uvt0r5lawxr300lpthj48wx23f9y2q,0.5203561299721873
osmo127cz3qd25qefq2d3l8zdl9xqzatskjcq4n5eg2,-0.21641955643676894
osmo1c5txl47ea73x9g535lefzs8u6engjrss4tr60p,-1.5165334872394212
osmo1cw73elmtjvzg4gjdy9yv7hu6nnfl8m7z4ah5wl,-5.433145018868806
osmo1ugg4nh0vgmqwvkvkjaw745hh70j5aae6y7m6ux,-13.878346700383196
osmo16h0yyryfjmmhgj3ct6ndl7gcy4r3krf0gfrzky,-49.26972396968639
osmo10rgny3xd5fvg02wnmy4h9zuktnfthvrlwdjwf5,-79.47896073011856
osmo1jfxcl8ja3nnfjduqemptknz2j6nk6502zp3rte,-2635.1544795591753
