height,code,sender,type,pool_id,shares,token_1_amount,token_1_denom,token_2_amount,token_2_denom,share_impact_amount
4707364,0,osmo1q5cv296zedshm3eggg9ps90jx3fhad55ndxwrw,Exit,1,762250296963882503058,10092351,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,78570405,uosmo,0.0
4707366,0,osmo1wy0qnu62k4qx8kfvc2q6n76cxnxgpgmqcyqsnu,Exit,1,3854955715204338946616,51041171,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,397351015,uosmo,0.0
4707470,0,osmo17d6eypvgf9p8cqfvfdpm5wldjlglvhz89ext68,Exit,1,191723333654131736677,2538297,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,19763481,uosmo,3.339649859603266e+20
4707671,0,osmo18vln3u6et46gekr8wr2j9lexnhu52xce3qa05k,Exit,1,487754098894285822676,6448472,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,50350358,uosmo,3.589181926701018e+20
4707802,0,osmo1z4v55tku262akr660zv0s7e6f4hghya5c2rcla,Exit,1,39439372041905503811061,521490228,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,4070712548,uosmo,1.5573620413560416e+21
4707885,0,osmo1cc56ryg7v58hvw0etrhhl9ufmksg5jl9t60mjc,Exit,1,141550259429820387979,1871444,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,14611672,uosmo,2.794369972904389e+21
4707890,0,osmo1s94x2ppjlchahtrsl24eas2emq0u7zcc8wr7lr,Exit,1,66822211883407171674,883526,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,6897272,uosmo,2.794369972904389e+21
4708008,0,osmo1d00m4h4q8pfvd9rdp5w34ndwt8flfgzzlemx0m,Exit,1,9897769537148412067279,130818182,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,1022027681,uosmo,2.974540808220293e+21
4708017,0,osmo18v85clkgwzvuugp03xf4e4etl5qqqtc7mxzv56,Exit,1,890764341976439798241,11773627,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,91975360,uosmo,2.974540808220293e+21
4708311,0,osmo1geth7fyn2qchnr5vfsk4s88a2qhw7yvdzjdand,Exit,1,160606272984686800656,2119043,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,16611990,uosmo,2.350918459267366e+22
4708471,0,osmo1sm8peyeg0cj6wr8w0wl305k6w5yz2mj3p3zppt,Exit,1,511193508558081485557,6746161,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,52862899,uosmo,2.4094458041174147e+22
4708478,0,osmo16g5xl2ry9yzul8wnarc7ckx7vl5y7g8qpca2xa,Exit,1,12057672535126495211,159134,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,1246801,uosmo,2.4094458041174147e+22
4708480,0,osmo1vj06gt7dhevlzxfg9ucnztsyehh6mvxnsk9229,Exit,1,2784813513927473279238,36753524,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,287958813,uosmo,2.4094458041174147e+22
4708502,0,osmo1q0x6hfuknmgsmv3vv3tu60v8ph054qmynydc3y,Exit,1,24604995204930883559084,324807757,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2543649846,uosmo,2.42741003101837e+22
4708779,0,osmo1gqylk9jknp043qd79thldxalz6vhnr4txtn7u4,Exit,1,5686624857700536212,75036,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,588124,uosmo,2.4578375702014295e+22
4708830,0,osmo1pluvppw3973qkk5rt8w0mmdsqx03hy6xl84etm,Exit,1,1942891576534137642398,25634156,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,200963334,uosmo,2.457981525012891e+22
4708841,0,osmo10xnqv49h7hh0gfspl7pq6w5nfqtkvj4rxzhel9,Exit,1,147018662244062199391173,1939763062,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,15206701645,uosmo,2.457981525012891e+22
4708867,0,osmo1uvxs9q40jl72q9p3jsx53zh65uksxtm6hw6xjh,Exit,1,626039761133969047404,8258562,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,64764786,uosmo,2.4597984983727674e+22
4708904,0,osmo1pluvppw3973qkk5rt8w0mmdsqx03hy6xl84etm,Exit,1,695403886280098529070,9170525,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,71964712,uosmo,2.486714449936018e+22
4708986,0,osmo178s275svy3n97c82vdglhv6m8j56yc30msgxmr,Exit,1,73000002633630475447,961733,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,7561856,uosmo,2.7570611507819123e+22
