height,code,sender,type,pool_id,shares,token_1_amount, token_1_denom, token_2_amount, token_2_denom
4707357,0,osmo1lj72jml6hw635cek9hep62u3hvfwng9e2e3r09,Join,606,1456085963841373576093,66688,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,12692502617,ibc/B9E0A1A524E98BB407D3CED8720EFEFD186002F90C1B1B7964811DD0CCC12228
4707358,0,osmo1q5cv296zedshm3eggg9ps90jx3fhad55ndxwrw,Exit,2,9633519667662087626886,23007,uion,4579187,uosmo
4707359,0,osmo1nl09n46sfnk0z8jk33mvu9u6lz5ymqj4hmj84x,Exit,678,1314044680092746610412,6449281352,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,5782144392,uosmo
4707362,0,osmo1rsks3gfv2rcf3atj8gs09yyhrftyn7j5vuu9v7,Join,712,2603219524874627876,73481,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,19702574,uosmo
4707362,0,osmo1jxpztalf3skjftyrlf3tpd3c94g2nqkanr7c3a,Join,648,130016939323421288959614,417884339889375580929,ibc/8061A06D3BD4D52C4A28FFECF7150D370393AF0BA661C3776C54FF32836C3961,77474244,uosmo
4707364,0,osmo1q5cv296zedshm3eggg9ps90jx3fhad55ndxwrw,Exit,1,762250296963882503058,10092351,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,78570405,uosmo
4707366,0,osmo1wy0qnu62k4qx8kfvc2q6n76cxnxgpgmqcyqsnu,Exit,1,3854955715204338946616,51041171,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,397351015,uosmo
4707371,0,osmo1cf6ym2cfcv0mxqvy02gv8f0pl05dhra02jfw89,Exit,560,1151904271760349731,147113858,ibc/BE1BB42D4BE3C30D50B68D7C41DB4DFCE9678E8EF8C539F6E6A9345048894FCC,1178348,uosmo
4707372,5,osmo1nl09n46sfnk0z8jk33mvu9u6lz5ymqj4hmj84x,Join,712,799281552724671606080,22541449,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,6054793351,uosmo
4707375,0,osmo10d65jzky0vhzhccdvv9yxew8rt7cnenheeg82a,Exit,561,14000920987598699400,4654424492,ibc/0EF15DF2F02480ADE0BB6E85D9EBB5DAEA2836D3860E9F97F9AADE4F57A31AA0,230299,uosmo
